age,job,marital,education,month,campaign,y
30,unemployed,married,primary,oct,1,no
33,services,married,secondary,may,1,no
35,management,single,tertiary,apr,1,no
30,management,married,tertiary,jun,4,no
59,blue-collar,married,secondary,may,1,no
35,management,single,tertiary,feb,2,no
36,self-employed,married,tertiary,may,1,no
39,technician,married,secondary,may,2,no
41,entrepreneur,married,tertiary,may,2,no
43,services,married,primary,apr,1,no
39,services,married,secondary,may,1,no
43,admin,married,secondary,apr,2,no
36,technician,married,tertiary,aug,2,no
20,student,single,secondary,apr,1,yes
31,blue-collar,married,secondary,jan,1,no
40,management,married,tertiary,aug,2,no
56,technician,married,secondary,aug,5,no
37,admin,single,tertiary,apr,1,no
25,blue-collar,single,primary,may,1,no
31,services,married,secondary,jul,1,no
38,management,divorced,unknown,nov,2,no
42,management,divorced,tertiary,nov,3,no
44,services,single,secondary,jun,2,no
44,entrepreneur,married,secondary,jul,2,no
26,housemaid,married,tertiary,jan,3,no
41,management,married,tertiary,nov,2,no
55,blue-collar,married,primary,may,1,no
67,retired,married,unknown,aug,1,no
56,self-employed,married,secondary,jul,2,no
53,admin,married,secondary,aug,2,no
68,retired,divorced,secondary,jul,2,yes
31,technician,married,secondary,aug,3,no
59,management,married,secondary,nov,1,no
32,management,single,tertiary,aug,6,yes
49,technician,married,tertiary,aug,3,yes
42,admin,divorced,secondary,may,1,no
78,retired,divorced,primary,oct,1,yes
32,blue-collar,married,secondary,nov,1,yes
33,management,married,secondary,may,1,yes
23,services,single,tertiary,may,18,no
38,management,single,tertiary,nov,2,no
36,management,single,tertiary,aug,2,no
52,blue-collar,married,secondary,may,1,no
32,technician,married,tertiary,may,3,no
32,technician,single,tertiary,nov,4,no
34,management,single,tertiary,may,2,no
55,blue-collar,married,primary,feb,3,no
26,blue-collar,married,primary,may,1,no
32,entrepreneur,single,primary,feb,1,no
61,admin,married,unknown,jan,1,yes
45,blue-collar,divorced,primary,jun,3,yes
37,technician,single,secondary,aug,2,no
38,technician,single,secondary,aug,2,no
34,technician,married,tertiary,jun,1,yes
53,blue-collar,married,secondary,jul,3,no
48,admin,married,secondary,jul,2,no
57,management,married,secondary,feb,1,no
33,self-employed,single,tertiary,nov,1,no
36,retired,single,secondary,may,1,no
54,technician,divorced,secondary,may,1,no
41,blue-collar,married,primary,jul,3,no
63,retired,married,secondary,oct,1,no
48,management,married,tertiary,aug,2,no
48,services,married,secondary,jul,2,no
56,admin,married,secondary,oct,1,no
51,blue-collar,divorced,secondary,may,1,no
31,services,married,secondary,jan,1,no
29,technician,married,secondary,jul,4,no
41,management,married,secondary,jul,3,no
32,technician,single,tertiary,nov,2,no
37,management,married,tertiary,jul,2,yes
42,entrepreneur,divorced,tertiary,may,1,no
31,management,single,tertiary,may,2,no
41,services,married,tertiary,jun,5,no
56,retired,married,secondary,may,1,no
54,management,divorced,tertiary,aug,2,no
41,blue-collar,divorced,secondary,may,2,no
40,technician,single,secondary,aug,6,no
50,blue-collar,divorced,primary,feb,1,no
40,unemployed,married,secondary,nov,2,no
27,admin,divorced,secondary,jul,1,yes
60,retired,married,primary,aug,2,no
28,admin,single,secondary,may,1,no
52,services,married,secondary,jul,2,yes
37,management,married,tertiary,jun,1,yes
51,blue-collar,married,primary,may,2,no
41,technician,single,secondary,jul,4,no
35,blue-collar,single,primary,may,2,no
38,admin,married,secondary,apr,1,no
34,blue-collar,married,secondary,may,2,no
39,blue-collar,married,primary,nov,2,no
34,blue-collar,married,primary,jun,3,no
27,services,single,secondary,may,1,yes
32,management,single,tertiary,aug,2,no
57,blue-collar,married,secondary,aug,5,no
41,unknown,single,tertiary,jul,2,no
41,admin,married,tertiary,may,2,no
30,admin,single,tertiary,oct,1,no
36,blue-collar,divorced,secondary,feb,1,no
31,unemployed,single,primary,feb,1,yes
36,blue-collar,married,secondary,may,1,no
38,management,single,tertiary,may,1,no
49,technician,married,secondary,nov,2,no
57,services,single,primary,may,2,no
34,management,single,secondary,aug,1,no
32,management,single,tertiary,apr,2,no
37,blue-collar,married,secondary,jun,3,no
33,self-employed,married,tertiary,feb,2,no
56,unemployed,married,primary,apr,1,yes
27,housemaid,married,primary,jul,3,no
21,student,single,secondary,jun,6,yes
58,management,married,tertiary,jul,5,no
32,self-employed,married,secondary,jul,5,no
33,blue-collar,single,secondary,jan,2,no
25,student,single,secondary,aug,4,yes
25,technician,single,secondary,nov,2,yes
30,services,married,secondary,may,2,no
22,admin,single,secondary,aug,1,no
39,blue-collar,married,primary,aug,1,no
46,management,divorced,tertiary,jun,2,no
31,admin,divorced,secondary,jul,1,no
45,blue-collar,married,primary,aug,4,no
32,technician,married,secondary,may,1,no
36,blue-collar,married,secondary,jul,2,no
51,management,single,tertiary,may,2,no
34,self-employed,single,tertiary,aug,3,yes
24,unemployed,single,secondary,sep,1,no
45,technician,single,secondary,jul,3,no
32,blue-collar,single,secondary,feb,1,no
77,retired,divorced,tertiary,apr,1,yes
41,blue-collar,married,primary,nov,3,no
37,blue-collar,married,primary,may,1,no
43,blue-collar,married,unknown,may,3,no
48,admin,married,unknown,may,1,no
27,technician,single,secondary,may,2,no
33,management,single,tertiary,aug,10,no
29,admin,single,secondary,may,1,no
34,management,single,tertiary,feb,1,no
52,management,married,tertiary,feb,1,yes
60,management,married,unknown,jun,2,no
32,management,divorced,tertiary,aug,2,no
32,management,single,tertiary,jul,2,no
56,services,divorced,unknown,may,1,no
